created_at,entry_id,field1
2024-11-10 09:58:26 UTC,1,38
2024-11-10 09:59:14 UTC,2,0
2024-11-10 10:01:22 UTC,3,52
2024-11-10 10:01:50 UTC,4,37
2024-11-10 10:02:19 UTC,5,25
2024-11-10 10:02:45 UTC,6,54
2024-11-10 10:03:11 UTC,7,82
2024-11-10 10:05:00 UTC,8,73
2024-11-10 10:08:42 UTC,9,62
2024-11-10 10:09:46 UTC,10,49
2024-11-10 10:13:37 UTC,11,0
2024-11-10 10:14:07 UTC,12,107
2024-11-10 10:14:47 UTC,13,74
2024-11-10 10:15:13 UTC,14,185
2024-11-10 10:17:25 UTC,15,117
2024-11-10 10:17:52 UTC,16,157
2024-11-10 10:19:16 UTC,17,45
2024-11-10 10:20:36 UTC,18,48
2024-11-10 10:21:52 UTC,19,59
2024-11-10 10:23:16 UTC,20,136
2024-11-10 10:27:32 UTC,21,34
2024-11-10 10:29:12 UTC,22,51
2024-11-10 10:29:42 UTC,23,26
2024-11-10 10:30:30 UTC,24,0
2024-11-10 10:31:32 UTC,25,50
2024-11-10 10:32:37 UTC,26,41
2024-11-10 10:33:04 UTC,27,229
2024-11-10 10:34:03 UTC,28,40
2024-11-10 11:32:46 UTC,29,30
2024-11-10 11:33:24 UTC,30,50
2024-11-10 11:33:52 UTC,31,0
2024-11-10 11:34:38 UTC,32,41
2024-11-10 11:35:37 UTC,33,73
2024-11-10 11:39:18 UTC,34,71
2024-11-10 11:42:45 UTC,35,36
2024-11-10 11:43:33 UTC,36,238
2024-11-10 11:45:23 UTC,37,32
2024-11-10 11:46:28 UTC,38,0
2024-11-10 11:46:55 UTC,39,81
2024-11-10 11:49:38 UTC,40,40
2024-11-10 11:50:48 UTC,41,40
2024-11-10 11:55:23 UTC,42,112
2024-11-10 11:55:50 UTC,43,198
2024-11-10 11:56:17 UTC,44,238
2024-11-10 11:58:33 UTC,45,154
2024-11-10 11:59:23 UTC,46,44
2024-11-10 14:27:37 UTC,47,38
2024-11-10 14:29:27 UTC,48,193
2024-11-10 14:29:53 UTC,49,25
2024-11-10 14:30:53 UTC,50,86
2024-11-10 14:31:30 UTC,51,68
2024-11-10 14:33:02 UTC,52,31
2024-11-10 14:38:03 UTC,53,60
2024-11-10 14:38:49 UTC,54,27
2024-11-10 14:39:27 UTC,55,0
2024-11-10 14:41:08 UTC,56,31
2024-11-10 14:44:00 UTC,57,0
2024-11-10 16:00:56 UTC,58,232
2024-11-10 16:20:41 UTC,59,71.37931034482759
